module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M3,M3.3.9,2,across the capacitor after one time constant?,12.64 volts,7.36 volts,0 volts,,,EASY,1. A capacitor is fully charged after 25 seconds to a battery voltage of 20,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""1. A capacitor is fully charged after 25 seconds to a battery voltage of 20\nVolts. The battery is replaced with a short circuit. What will be the voltage\nacross the capacitor after one time constant?\na) 12.64 volts\nb) 7.36 volts\nc) 0 volts"", ""question"": ""across the capacitor after one time constant?"", ""options"": [""12.64 volts"", ""7.36 volts"", ""0 volts""], ""correct"": null, ""answer_text"": null, ""category"": ""1. A capacitor is fully charged after 25 seconds to a battery voltage of 20"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.9"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,M3.1.5,,The voltage rating of a capacitor is,the max voltage that can be constantly applied,the min voltage required to charge,the normal operating voltage,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""2. The voltage rating of a capacitor is\na) the max voltage that can be constantly applied\nb) the min voltage required to charge\nc) the normal operating voltage"", ""question"": ""The voltage rating of a capacitor is"", ""options"": [""the max voltage that can be constantly applied"", ""the min voltage required to charge"", ""the normal operating voltage""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""EASY""}"
M3,M3.3.9,2,The relative permittivity of a capacitor is,the relative permittivity of the dielectric in relation to a vacuum,the permittivity of dielectric in relation to dry air,the permittivity of the dielectric,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""3. The relative permittivity of a capacitor is\na) the relative permittivity of the dielectric in relation to a vacuum\nb) the permittivity of dielectric in relation to dry air\nc) the permittivity of the dielectric"", ""question"": ""The relative permittivity of a capacitor is"", ""options"": [""the relative permittivity of the dielectric in relation to a vacuum"", ""the permittivity of dielectric in relation to dry air"", ""the permittivity of the dielectric""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.9"", ""level"": 2, ""difficulty"": ""EASY""}"
M3,,,Magnetic inclination is the least at the,poles,equator,isoclines,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""4. Magnetic inclination is the least at the\na) poles\nb) equator\nc) isoclines"", ""question"": ""Magnetic inclination is the least at the"", ""options"": [""poles"", ""equator"", ""isoclines""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,Ferromagnetic materials can be magnetized,within a band of temperatures,above a certain temperature,below a certain temperature,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""5. Ferromagnetic materials can be magnetized\na) within a band of temperatures\nb) above a certain temperature\nc) below a certain temperature"", ""question"": ""Ferromagnetic materials can be magnetized"", ""options"": [""within a band of temperatures"", ""above a certain temperature"", ""below a certain temperature""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,M3.1.5,,Faradays Law States that,the magnitude of the EMF is directly proportional to the rate of change,the magnitude of the EMF is indirectly proportional to the rate of,the magnitude of the EMF is directly proportional to the magnetic flux,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""6. Faradays Law States that\na) the magnitude of the EMF is directly proportional to the rate of change\nof flux\nb) the magnitude of the EMF is indirectly proportional to the rate of\nchange of flux\nc) the magnitude of the EMF is directly proportional to the magnetic flux"", ""question"": ""Faradays Law States that"", ""options"": [""the magnitude of the EMF is directly proportional to the rate of change"", ""the magnitude of the EMF is indirectly proportional to the rate of"", ""the magnitude of the EMF is directly proportional to the magnetic flux""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.1.5"", ""level"": null, ""difficulty"": ""EASY""}"
M3,,,To reduce eddy currents in a transformer you would,reduce the thickness of laminations in the magnetic core,increase the thickness of laminations in the magnetic core,reduce the number of turns on the primary winding,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""7. To reduce eddy currents in a transformer you would\na) reduce the thickness of laminations in the magnetic core\nb) increase the thickness of laminations in the magnetic core\nc) reduce the number of turns on the primary winding"", ""question"": ""To reduce eddy currents in a transformer you would"", ""options"": [""reduce the thickness of laminations in the magnetic core"", ""increase the thickness of laminations in the magnetic core"", ""reduce the number of turns on the primary winding""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
M3,M3.3.2,2,"is delta / star wound, what will the line voltage output be?",115V,200V,346V,,,MEDIUM,8. A transformer has an input of 400V and a ratio of 2:1. If the transformer,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""8. A transformer has an input of 400V and a ratio of 2:1. If the transformer\nis delta / star wound, what will the line voltage output be?\na) 115V\nb) 200V\nc) 346V\nPage 1\nModule 3 – Electrical Fundamentals\nSample Questions"", ""question"": ""is delta / star wound, what will the line voltage output be?"", ""options"": [""115V"", ""200V"", ""346V""], ""correct"": null, ""answer_text"": null, ""category"": ""8. A transformer has an input of 400V and a ratio of 2:1. If the transformer"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""syllabusRef"": ""M3.3.2"", ""level"": 2, ""difficulty"": ""MEDIUM""}"
M3,,,consuming 50 Watts?,45°,90°,0°,,,EASY,"9. What is the phase difference in a circuit with 100V, drawing 0.5 amps,",,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""9. What is the phase difference in a circuit with 100V, drawing 0.5 amps,\nconsuming 50 Watts?\na) 45°\nb) 90°\nc) 0°"", ""question"": ""consuming 50 Watts?"", ""options"": [""45°"", ""90°"", ""0°""], ""correct"": null, ""answer_text"": null, ""category"": ""9. What is the phase difference in a circuit with 100V, drawing 0.5 amps,"", ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""EASY""}"
M3,,,"10. In an A.C circuit, what happens if frequency is reduced?",Capacitive elements may be damaged,Inductive elements may be damaged,There will be no effect,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,261722955-Module-3.pdf,"{""raw"": ""10. In an A.C circuit, what happens if frequency is reduced?\na) Capacitive elements may be damaged\nb) Inductive elements may be damaged\nc) There will be no effect"", ""question"": ""10. In an A.C circuit, what happens if frequency is reduced?"", ""options"": [""Capacitive elements may be damaged"", ""Inductive elements may be damaged"", ""There will be no effect""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""261722955-Module-3.pdf"", ""source_module"": ""M3"", ""fmt"": ""pdf"", ""module"": ""M3"", ""difficulty"": ""MEDIUM""}"
