module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M2,M2.02.01,,What is the most common form of matter in the universe?,Liquid,Plasma,Solid,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""1. What is the most common form of matter in the universe?\n   - a) Liquid\n   - b) *Plasma*\n   - c) Solid"", ""question"": ""What is the most common form of matter in the universe?"", ""options"": [""Liquid"", ""Plasma"", ""Solid""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which state of matter is characterized by having molecules with the least motion?,Gas,Solid,Liquid,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""2. Which state of matter is characterized by having molecules with the least motion?\n   - a) Gas\n   - b) *Solid*\n   - c) Liquid"", ""question"": ""Which state of matter is characterized by having molecules with the least motion?"", ""options"": [""Gas"", ""Solid"", ""Liquid""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.03,,Which substance is a good example of a catalyst?,Water,Two-part epoxy mix,Oxygen gas,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""3. Which substance is a good example of a catalyst?\n   - a) Water\n   - b) *Two-part epoxy mix*\n   - c) Oxygen gas"", ""question"": ""Which substance is a good example of a catalyst?"", ""options"": [""Water"", ""Two-part epoxy mix"", ""Oxygen gas""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""EASY""}"
M2,,,What happens to the boiling point of a liquid when pressure is increased?,It decreases,It remains the same,It increases,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""4. What happens to the boiling point of a liquid when pressure is increased?\n   - a) It decreases\n   - b) It remains the same\n   - c) *It increases*"", ""question"": ""What happens to the boiling point of a liquid when pressure is increased?"", ""options"": [""It decreases"", ""It remains the same"", ""It increases""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which state of matter is compressible?,Solid,Gas,Plasma,,,EASY,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""5. Which state of matter is compressible?\n   - a) Solid\n   - b) *Gas*\n   - c) Plasma"", ""question"": ""Which state of matter is compressible?"", ""options"": [""Solid"", ""Gas"", ""Plasma""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""EASY""}"
M2,M2.02.03,,What type of substance has molecules that are tightly bound together?,Gas,Solid,Liquid,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""6. What type of substance has molecules that are tightly bound together?\n   - a) Gas\n   - b) *Solid*\n   - c) Liquid"", ""question"": ""What type of substance has molecules that are tightly bound together?"", ""options"": [""Gas"", ""Solid"", ""Liquid""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.03"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,What is the physical condition of a substance called?,State of matter,Temperature,Chemical composition,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""7. What is the physical condition of a substance called?\n   - a) *State of matter*\n   - b) Temperature\n   - c) Chemical composition"", ""question"": ""What is the physical condition of a substance called?"", ""options"": [""State of matter"", ""Temperature"", ""Chemical composition""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,Which state of matter has the ability to conduct electricity?,Solid,Liquid,Plasma,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""8. Which state of matter has the ability to conduct electricity?\n   - a) Solid\n   - b) Liquid\n   - c) *Plasma*"", ""question"": ""Which state of matter has the ability to conduct electricity?"", ""options"": [""Solid"", ""Liquid"", ""Plasma""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.2.3(a),,What is the temperature at which a substance changes from a liquid to a vapor?,Freezing point,Melting point,Boiling point,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""9. What is the temperature at which a substance changes from a liquid to a vapor?\n   - a) Freezing point\n   - b) Melting point\n   - c) *Boiling point*"", ""question"": ""What is the temperature at which a substance changes from a liquid to a vapor?"", ""options"": [""Freezing point"", ""Melting point"", ""Boiling point""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.2.3(a)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M2,M2.02.01,,What is the primary factor determining the state of matter of a substance?,Chemical composition,Volume,Degree of motion between particles,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,1.docx,"{""raw"": ""10. What is the primary factor determining the state of matter of a substance?\n   - a) Chemical composition\n   - b) Volume\n   - c) *Degree of motion between particles*"", ""question"": ""What is the primary factor determining the state of matter of a substance?"", ""options"": [""Chemical composition"", ""Volume"", ""Degree of motion between particles""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""1.docx"", ""source_module"": ""M2"", ""fmt"": ""docx"", ""module"": ""M2"", ""syllabusRef"": ""M2.02.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
