module,syllabusRef,level,text,optionA,optionB,optionC,optionD,correctAnswer,difficulty,subTopic,aiSourceRef,aiConfidence,status,reviewNote,points,sourceFile,rawJson
M6,M6.06.02,,**What property of ferrous materials makes them widely used in aircraft structures?**,High electrical conductivity,High tensile strength,Resistance to corrosion,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""1. **What property of ferrous materials makes them widely used in aircraft structures?**  \n   a) High electrical conductivity  \n   b) **High tensile strength**  \n   c) Resistance to corrosion"", ""question"": ""**What property of ferrous materials makes them widely used in aircraft structures?**"", ""options"": [""High electrical conductivity"", ""High tensile strength"", ""Resistance to corrosion""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.02"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.6.1(c),,**Which of the following is a common alloying element in steel?**,Aluminum,Carbon,Copper,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""2. **Which of the following is a common alloying element in steel?**  \n   a) Aluminum  \n   b) **Carbon**  \n   c) Copper"", ""question"": ""**Which of the following is a common alloying element in steel?**"", ""options"": [""Aluminum"", ""Carbon"", ""Copper""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.6.1(c)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.09,,**What type of steel is most commonly used for aircraft landing gear components?**,High-strength low-alloy steel (HSLA),Stainless steel,Cast iron,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""3. **What type of steel is most commonly used for aircraft landing gear components?**  \n   a) **High-strength low-alloy steel (HSLA)**  \n   b) Stainless steel  \n   c) Cast iron"", ""question"": ""**What type of steel is most commonly used for aircraft landing gear components?**"", ""options"": [""High-strength low-alloy steel (HSLA)"", ""Stainless steel"", ""Cast iron""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.09"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.01,,**Which process is used to improve the toughness of steel after hardening?**,Tempering,Annealing,Cold working,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""4. **Which process is used to improve the toughness of steel after hardening?**  \n   a) **Tempering**  \n   b) Annealing  \n   c) Cold working"", ""question"": ""**Which process is used to improve the toughness of steel after hardening?**"", ""options"": [""Tempering"", ""Annealing"", ""Cold working""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.01"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.6.1(c),,**What is the effect of adding carbon to iron to form steel?**,Decreases strength and hardness,Increases strength and hardness,Improves ductility,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""5. **What is the effect of adding carbon to iron to form steel?**  \n   a) Decreases strength and hardness  \n   b) **Increases strength and hardness**  \n   c) Improves ductility"", ""question"": ""**What is the effect of adding carbon to iron to form steel?**"", ""options"": [""Decreases strength and hardness"", ""Increases strength and hardness"", ""Improves ductility""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.6.1(c)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.04,,**Which of the following is a characteristic of mild steel?**,Low carbon content,High corrosion resistance,High cost,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""6. **Which of the following is a characteristic of mild steel?**  \n   a) **Low carbon content**  \n   b) High corrosion resistance  \n   c) High cost"", ""question"": ""**Which of the following is a characteristic of mild steel?**"", ""options"": [""Low carbon content"", ""High corrosion resistance"", ""High cost""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.04,,**Stainless steel is characterized by its resistance to which of the following?**,Electrical current,Corrosion,High temperatures,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""7. **Stainless steel is characterized by its resistance to which of the following?**  \n   a) Electrical current  \n   b) **Corrosion**  \n   c) High temperatures"", ""question"": ""**Stainless steel is characterized by its resistance to which of the following?**"", ""options"": [""Electrical current"", ""Corrosion"", ""High temperatures""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.04,,**What is the primary advantage of stainless steel in aircraft applications?**,Corrosion resistance,High electrical conductivity,Lightweight,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""8. **What is the primary advantage of stainless steel in aircraft applications?**  \n   a) **Corrosion resistance**  \n   b) High electrical conductivity  \n   c) Lightweight"", ""question"": ""**What is the primary advantage of stainless steel in aircraft applications?**"", ""options"": [""Corrosion resistance"", ""High electrical conductivity"", ""Lightweight""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.06.04,,**What element is added to stainless steel to enhance its corrosion resistance?**,Carbon,Chromium,Nickel,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""9. **What element is added to stainless steel to enhance its corrosion resistance?**  \n   a) Carbon  \n   b) **Chromium**  \n   c) Nickel"", ""question"": ""**What element is added to stainless steel to enhance its corrosion resistance?**"", ""options"": [""Carbon"", ""Chromium"", ""Nickel""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.06.04"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.6.3,,**Martensitic stainless steels are typically used for which application?**,Cutting tools and turbine blades,Aircraft skins,Fasteners,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""10. **Martensitic stainless steels are typically used for which application?**  \n   a) **Cutting tools and turbine blades**  \n   b) Aircraft skins  \n   c) Fasteners"", ""question"": ""**Martensitic stainless steels are typically used for which application?**"", ""options"": [""Cutting tools and turbine blades"", ""Aircraft skins"", ""Fasteners""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.6.3"", ""level"": null, ""difficulty"": ""MEDIUM""}"
M6,M6.6.1(c),,**What is the main characteristic of high-carbon steel?**,High ductility,High hardness and brittleness,Low tensile strength,,,MEDIUM,,,,DRAFT,NEEDS_ANSWER — answer not provided in source; solve via Suntech corpus or admin review,1,Materials Q1 set.docx,"{""raw"": ""11. **What is the main characteristic of high-carbon steel?**  \n   a) High ductility  \n   b) **High hardness and brittleness**  \n   c) Low tensile strength"", ""question"": ""**What is the main characteristic of high-carbon steel?**"", ""options"": [""High ductility"", ""High hardness and brittleness"", ""Low tensile strength""], ""correct"": null, ""answer_text"": null, ""category"": null, ""source_file"": ""Materials Q1 set.docx"", ""source_module"": ""M6"", ""fmt"": ""docx"", ""module"": ""M6"", ""syllabusRef"": ""M6.6.1(c)"", ""level"": null, ""difficulty"": ""MEDIUM""}"
